web-scraper-order,web-scraper-start-url,linki,linki-href
"1630625562-246","https://www.msn.com/en-us/Sports","Tokyo Paralympian stripped of gold medal for arriving 3 minutes…
                        Muhammad Ziyad Zolkefli thought he had won gold at the 2020 Tokyo Paralympics. The International Paralympics Committee (IPC) defended the decision, which has drawn scorn on social media. Zolkefli competed in the shot put in the F20 classification for intellectual impairment. Ukranian…
                            
                                    


                Yahoo! Sports","https://www.msn.com/en-us/sports/paralympics/tokyo-paralympian-stripped-of-gold-medal-for-arriving-3-minutes-late-rules-are-rules/ar-AAO268R"
"1630625562-1009","https://www.msn.com/en-us/Sports","Breaking down the highs and lows of Corey Kluber’s return
                            
                                    


                SB Nation","https://www.msn.com/en-us/sports/mlb/breaking-down-the-highs-and-lows-of-corey-klubers-return/ar-AANZ65j"
"1630625562-335","https://www.msn.com/en-us/Sports","Video
                            
                        Shannon Sharpe explains why LeBron should not be concerned about the…
                            
                                    


                FOXSports","https://www.msn.com/en-us/sports/nba/shannon-sharpe-explains-why-lebron-should-not-be-concerned-about-the-lakers-roster-age-this-season-i-undisputed/vi-AAO1TJU"
"1630625562-186","https://www.msn.com/en-us/Sports","How to RSVP for the Pokémon Go Safari events
                            
                                    


                Dot Esports","https://www.msn.com/en-us/sports/esports/how-to-rsvp-for-the-pok%c3%a9mon-go-safari-events/ar-AAO2g9v"
"1630625562-91","https://www.msn.com/en-us/Sports","Video
                            
                        Analyzing Gerrit Cole's Recent Success
                            
                                    


                Stadium","https://www.msn.com/en-us/sports/soccer/analyzing-gerrit-coles-recent-success/vi-AAO2CbW"
"1630625562-166","https://www.msn.com/en-us/Sports","Missouri counting on QB Connor Bazelak in opener vs. CMU
                        FOOTBALL-NCAA-MIO-CMI/PREVIEW
                            
                                    


                Reuters","https://www.msn.com/en-us/sports/ncaafb/missouri-counting-on-qb-connor-bazelak-in-opener-vs-cmu/ar-AAO2bwl"
"1630625562-493","https://www.msn.com/en-us/Sports","Arsenal loanee ready to bring ‘A-game’ for Northern Ireland
                            
                                    


                Football365","https://www.msn.com/en-us/sports/soccer/arsenal-loanee-ready-to-bring-a-game-for-northern-ireland/ar-AAO1rzF"
"1630625562-981","https://www.msn.com/en-us/Sports","Snake Bytes: 9/1 - Rosters Expand
                            
                                    


                SB Nation","https://www.msn.com/en-us/sports/mlb/snake-bytes-9-1-rosters-expand/ar-AANZgpJ"
"1630625562-787","https://www.msn.com/en-us/Sports","Photos
                            
                        Eagles annouce 15-player practice squad for 2021 NFL season
                            
                                    


                SMG","https://www.msn.com/en-us/sports/nfl/eagles-annouce-15-player-practice-squad-for-2021-nfl-season/ss-AANZuVs"
"1630625562-577","https://www.msn.com/en-us/Sports","Photos: UFC, Bellator and more MMA ring card girls through the years
                            
                                    


                MMAJunkie","https://www.msn.com/en-us/sports/mma_ufc/photos-ufc-bellator-and-more-mma-ring-card-girls-through-the-years/ar-BB18yDq1"
"1630625562-674","https://www.msn.com/en-us/Sports","Video
                            
                        Packers DT Jack Heflin Emotional After Making Roster
                            
                                    


                Packer Central on FanNation","https://www.msn.com/en-us/sports/nfl/packers-dt-jack-heflin-emotional-after-making-roster/vi-AANZK5i"
"1630625562-715","https://www.msn.com/en-us/Sports","Dodgers recall McKinstry and Meisinger
                            
                                    


                SB Nation","https://www.msn.com/en-us/sports/mlb/dodgers-recall-mckinstry-and-meisinger/ar-AANZOCU"
"1630625562-158","https://www.msn.com/en-us/Sports","Video
                            
                        Match Highlights: Australia vs. China
                            
                                    


                CBS Entertainment","https://www.msn.com/en-us/sports/cricket/match-highlights-australia-vs-china/vi-AAO2x8Z"
"1630625562-541","https://www.msn.com/en-us/Sports","Hassan headlines classy Brussels Diamond League
                        Dutch all-rounder Sifan Hassan, who won two golds and a bronze in an unprecedented effort at a distance treble at the Tokyo Olympics, heads up a talent-loaded field at the penultimate meeting of the 2021 Diamond League series in Brussels on Friday. In the last event before the two-day Diamond League finals in Zurich on September…
                            
                                    


                AFP","https://www.msn.com/en-us/sports/more-sports/hassan-headlines-classy-brussels-diamond-league/ar-AAO0WPH"
"1630625562-584","https://www.msn.com/en-us/Sports","Matchup To Watch: Temple vs. Rutgers
                            
                                    


                SB Nation","https://www.msn.com/en-us/sports/nfl/matchup-to-watch-temple-vs-rutgers/ar-AAO0rhH"
"1630625562-906","https://www.msn.com/en-us/Sports","NFL cuts: Notable names who were released
                        Keeping the momentum alive in an NFL career is never easy. For some veterans, an injury can derail the progress, or a bad season or a bad scheme fit can start messing with the intellectual side of the game. Players just aren't the same as they were during their heyday. Cut…
                            
                                    


                Touchdown Wire","https://www.msn.com/en-us/sports/nfl/nfl-cuts-notable-names-who-were-released/ar-AANZqzw"
